a / an | =
dwelling-place / ~es | ˈdwelɪn-ˌplɛ:s, -ɪŋ- / -ɪz
dwindle | =
dye | dǝɪ
dye / ~ing / ~d | dǝɪ / ˈdǝɪɪn, -ɪŋ / dǝɪd
dying | ˈdǝɪɪn, -ɪŋ
    E [music] | =
each | =
eager | ˈi:gǝɹ
eagerly | m ˈi:gǝɹlǝɪ, -ˌlǝɪ
eagerness | ˈm ˈi:gǝɹˌnes
eagle | =
eagle / ~’s / ~s | =
eagle-sighted | ˈi:gl-ˌsǝɪtɪd
ean | i:n
eaning | ˈi:nɪn, -ɪŋ
eanling / ~s | ˈi:nlɪnz, -ɪŋz
ear / ~s | i:ɹ, ɛ:ɹ / -z
ear / ~s | i:ɹ, ɛ:ɹ / -z
ear-deafening | ˈi:ɹ-ˌdefnɪn, -ɪŋ, ɛ:ɹ-
earing | ˈi:rɪn, -ɪŋ, ɛ:ɹ-
ear-kissing | ˈi:ɹ-ˌkɪsɪn, -ɪŋ, ɛ:ɹ-
Earl / ~’s / ~s [title] | ɐ:ɹl / -z
earldom | ˈɐ:ɹldǝm
earliness | m ˈɐ:ɹlɪˌnes
earl·y / ~ier / ~iest | ˈɐ:ɹlǝɪ / -ǝɹ / -ǝst
earn / ~s / ~ed [gain] | ɐ:ɹn / -z / -d
earn / ~s [yearn] | ɐ:ɹn / -z
earnest | ˈɐ:ɹnɪst
earnest-gaping | ˈɐ:ɹnɪst-ˈgɛ:pɪn, -ɪŋ
earnestly | ˈɐɹnɪstlǝɪ
earnestness | m ˈɐ:ɹnɪstˌnes, -tnǝs
ear-piercing | ˈi:ɹ-ˌpɛ:ɹsɪn, -ɪŋ, ˈɛ:ɹ-
earth / ~’s | ɐ:ɹθ / -s
earth / ~ed | ɐ:ɹθt
earth-bound | ˈɐ:ɹθ-ˌbǝʊnd
earthen | ˈɐ:ɹθǝn
earthl·y / ~ier | ˈɐ:ɹθlǝɪ / -ǝɹ
earthquake / ~s | ˈɐ:ɹθˌkwɛ:k / -s
earth-treading | m ˌɐ:ɹθ-ˈtredɪn, -ɪŋ
earth-vexing | m ˌɐ:ɹθ-ˈveksɪn, -ɪŋ
earthy | ˈɐ:ɹθǝɪ
ear-wax | ˈi:ɹ-ˌwaks, ˈɛ:ɹ-
ease / ~s | =
eas·e / ~ing / ~ed | = / ˈi:zɪn, -ɪŋ / =
easeful | =
easil·y / ~iest | m ˈi:zlǝɪ, -zɪl-, ˈi:zɪˌlǝɪ / ˈi:zɪlǝst
easiness | m ˈi:zɪˌnes, -ɪnǝs
east | est
Eastcheap | ˈestʃi:p
Easter | ˈestǝɹ
eastern | ˈestǝɹn
eas·y / ~ier / ~iest | ˈi:zǝɪ / -ǝɹ / -ǝst
easy-borrowed | ˈi:zǝɪ-ˌbɒrǝd, -ro:d
easy-melting | ˈi:zǝɪ-ˌmeltɪn, -ɪŋ
easy-yielding | ˈi:zǝɪ-ˌji:ldɪn, -ɪŋ
eat / ~s / ~ing / ate / eaten | i:t / -s / ˈi:tɪn, -ɪŋ / ɛ:t, et / ˈetǝn
eater | ˈi:tǝɹ
eating | ˈi:tɪn, -ɪŋ
eaux | o
eaves | =
eavesdropper | ˈi:z-ˌdrɒpǝɹ, ˈi:vz-
ebb / ~s / | =
ebb / ~s / ~ed | =
ebbed | =
ebbing | ˈebɪn, -ɪŋ
ebon | ˈebǝn
ebon-coloured | ˈebǝn-ˌkɤlǝɹd
ebony | m ˈebǝnǝɪ, -ˌnǝɪ
ecce | ˈetʃe:
échapper | eʃaˈpe
eche | i:tʃ
echo / ~es | ˈeko: / -z
echo / ~est | ˈeko: / -st
eclipse / ~s | =
eclipse / ~ed | =
écolier | ekɔlˈje
écouter / écoutez | ekuˈtez
ecstas·y / ~ies | m ˈekstǝsǝɪ, -ˌsǝɪ / ˈekstǝˌsǝɪz
écu / ~s | eˈky
Eden | =
Edgar | ˈedgǝɹ
edge / ~s | =
edge / ~d | edʒd
edged | m ˈedʒɪd
edgeless | =
edict / ~s | m eˈdɪkt, ˈedɪkt / ˈedɪkts
edifice / ~s | m ˈedɪfɪs, -ˌfɪs / ˈedɪˌfɪsɪz
edif·y / ~ies / ~ied | ˈedɪfǝɪ·z / -d
edition | eˈdɪsɪǝn
Edmondsbury | m ˈedmǝnzˌbrǝɪ, -ndz-
Edmund | ˈedmǝnd
educate | ˈedjǝkɛ:t
education | ˌedjǝˈkɛ:sɪǝn
Edward / ~’s | ˈedwǝɹd / -z
eel / ~s | =
eelskin / ~s | =
effect / ~s | =
effect / ~s / Luc, VA ~ing / ~ed | = / = / ɪˈfektɪn, -ɪŋ / =
effectless | =
effectual | m ɪˈfektjʊˌɑl, -jɑl
effectually | m ɪˈfektjɑˌlǝɪ
effeminate | m ɪˈfemnǝt, -mɪn-, -mɪˌnɛ:t
effig·y / ~ies | eˈfɪdʒǝɪz
effuse | =
effuse / ~d | =
effusion | ɪˈfju:zɪǝn
eft / ~est | =
egal | ˈɛ:gɑl
egally | m ˈɛ:gɑˌlǝɪ
eg·eo / ~et | ˈeget
Egeon | ɪˈdʒi:ǝn
Egeus | ɪˈdʒi:ǝs
egg / ~s | =
eggshell / ~s | =
Eglamour | ˈeglǝˌmo:ɹ
eglantine | ˈeglǝnˌtǝɪn
egma [enigma] | =
ego
- ego | ˈego:
- meus det | ˈme:ʊs
egregious | eˈgri:dʒǝs, -ɪǝs
egregiously | m eˈgri:dʒǝsˌlǝɪ, -ɪǝs-
egress | ˈi:gres
Egypt / ~’s | =
Egyptian / ~s | ɪˈdʒɪpsɪǝn / -z
eight | ɛ:t
eighteen | m ɛ:ˈti:n, ˈɛ:ti:n / ɛ:ˈti:n
eighth | ɛ:t
eightpenny | ˈɛ:tpnǝɪ, -pǝn-
eighty | ˈɛ:tǝɪ
eight-year-old | ˈɛ:t-jɪr-ˌo:ld
eisel | ˈesɪl
either | ˈɛðǝɹ, ˈɛ:-
either / ~’s | ˈɛðǝɹ, ˈɛ:- / -z
eject | =
eke | i:k
Elbe | elb
elbow / ~s | =, Katherine H5 3.4.26ff ˈbɪlbo:, ˈɪlbo: / -z
Elbow / ~’s [name] | =
elbow-room | =
eld | =
elder | ˈeldǝɹ
elder / ~s [old] | ˈeldǝɹ / -z
elder [tree] | ˈeldǝɹ
elder-gun | ˈeldǝɹ-ˌgɤn
elder tree | ˈeldǝɹ ˌtri:
eldest | m ˈeldǝst, eldst
eldest-born | ˈeldǝst-ˌbɔ:ɹn
Eleanor / ~’s | m ˈelɪˌnɔ:ɹ, -lɪn-, -lnǝɹ / -z, elˈnɔ:ɹz
elect | =
elect / ~ed | =
elected | =
election | m ɪˈleksɪǝn, -sɪˌɒn
elegancy | ˈelɪgǝnsǝɪ
eleg·y / ~ies | m ˈelɪdʒǝɪz, -ˌdʒǝɪz
element / ~s | m ˈelɪˌment, ˈelmǝnt / -s
elephant / ~s | m ˈelɪfǝnt, -ˌfant / ˈelɪˌfants
elevated | ˈelɪvɛ:tɪd
eleven, abbr leven | m ɪˈlɛ:n, ɪˈlevǝn, abbr lɛ:n, ˈlevǝn
elevenpence, abbr leven~ | ɪˈlɛ:npǝns, -ˈlevǝn-
eleventh | ɪˈlɛ:nθ, ɪˈlevǝnθ
elf / elves | =
elfskin | =
Elizabeth | ǝˈlɪzǝˌbet, -eθ
elk-lock / ~s | =
ell | =
elle | ɛl
Ellen | =
elm | =
eloquence | m ˈelǝˌkwens, ˈelkwǝns
eloquent | m ˈelǝˌkwent, ˈelkwǝnt
else | =
Elsinore | ˈelsɪˌnɔ:ɹ
elsewhere | m elsˈʍɛ:ɹ, ˈelsʍɛ:ɹ
Eltham | ˈeltǝm
elvish-marked | ˈelvɪʃ-ˌmɑ:ɹkt
Ely | ˈi:lǝɪ
Elysium | m ǝˈlɪzɪʊm, -ɪˌʊm
em- | also im-
emballing | emˈbɑ:lɪn, -ɪŋ
embalm / ~s | emˈbɔ:m / -z
embar | emˈbɑ:ɹ
embark / ~ed | emˈbɑ:ɹk / m -t, -ɪd
embarkment / ~s | emˈbɑ:ɹkmǝnts
embassade | ˌembǝˈsɑ:d
embassage | ˌembǝˈsɛ:dʒ
embass·y / ~ies | m ˈembǝˌsǝɪ / -z
embattaile / ~d | emˈbatl / m -tld, -tǝˌlɪd
embay / ~ed | emˈbɛ:d
embellish / ~ed | =
ember / ~s | ˈembǝɹz
emblaze | ˈemblɛ:z
emblem / ~s | =
embod·y / ~ied | emˈbɒdǝɪd
embolden / ~s / ~ed | emˈbo:ldǝn·z / -d
emboss / ~ed | emˈbɒst
embossed | m emˈbɒsɪd, emˈbɒst
embound / ~ed | emˈbǝʊndɪd
embowel / ~ed | emˈbǝʊǝl / emˈbǝʊǝld
emboweled | emˈbǝʊǝld
embrace / ~s | emˈbrɛ:s / -ɪz
embrac·e / ~es / ~ing / ~ed | emˈbrɛ:s / -ɪz / -ɪn, -ɪŋ / m -t, -ɪd
embraced | m emˈbrɛ:sɪd, -st
embracement / ~s | emˈbrɛ:smǝnt / -s
embracing | emˈbrɛ:sɪn, -ɪŋ
embrasure / ~s | emˈbrɛ:zǝɹz
embrew / ~ed | emˈbru: / -d
embroidered | emˈbrǝɪdǝɹd
embroidery | m emˈbrǝɪdǝˌrǝɪ
emerald | ˈemrɑld
Emilia | m eˈmɪlɪǝ [3 sylls], -lɪˌa
Emillius | eˈmɪlɪǝs [3 sylls]
eminence | m ˈemɪˌnens
eminent | m ˈemɪˌnent, -mɪn-, ˈemnǝnt
Emmanuel | =
emmew | emˈju:
empericutic | ˌemperɪˈkju:tɪk
Emperor / ~’s | m ˈempǝˌrɔ:ɹ, -prǝɹ, -pǝr- / -z
empery | m ˈempǝˌrǝɪ
emphasis | m ˈemfǝˌsɪs
empire | ˈempǝɪɹ
empiric / ~s | m ˈempɪˌrɪks
empleached LC | emˈpli:tʃt
employ / ~ed | emˈplǝɪ / -d
employer | emˈplǝɪǝɹ
employment / ~s | emˈplǝɪmǝnt / -s
empoison / ~ed | emˈpǝɪzǝn / -d
Empress / ~’ [title] | =
emptiness | m ˈemtɪˌnes, -mpt-
empt·y / ~ier | ˈemtǝɪ, -mpt- / -ǝɹ
empt·y / ~ies / ~ying / ~ied | ˈemtǝɪ, -mpt- / -z / -ɪn, -ɪŋ / -d
empty-hearted | ˈemtǝɪ-ˈɑ:ɹtɪd, -mpt-, -ˈhɑ:
emptying | ˈemtǝɪɪn, -ɪŋ, -mpt-
emulate | m ˈemlǝt, -jǝlǝt / ˈemjǝˌlɛ:t
emulation / ~s | m ˈemjǝˌlɛ:sɪǝn, -sɪˌɒn / -z
emulator | ˈemjǝˌlɛ:tǝɹ
emulous | ˈemjǝlǝs, -ml-
en | ɑ̃
enact / ~s | =
enact / ~s / ~ed | =
enactor / ~s | enˈaktǝɹz
enamelled | m =, eˈnamǝˌled
enamoured | eˈnamǝɹd
encamp / ~ed | =
encave | enˈkɛ:v
Enceladus | m enˈsɛlǝˌdɤs
enchafed | m enˈtʃɛ:ft, -fɪd
enchange | enˈtʃɛ:ndʒ
enchant / ~s / ~ing / ~ed | enˈtʃant, -ˈtʃɔ:nt / -s / -ɪn, -ɪŋ / -ɪd
enchanted | enˈtʃantɪd, -ˈtʃɔ:n-
enchanting | enˈtʃantɪn, -ɪŋ, -ˈtʃɔ:n-
enchantingly | enˈtʃantɪnlǝɪ, -ɪŋ-, -ˈtʃɔ:n-
enchantment | enˈtʃantmǝnt, -ˈtʃɔ:n-
enchantress | enˈtʃantrǝs, -ˈtʃɔ:n-
enchased | enˈtʃɛ:st
encircle / ~d | enˈsɐ:ɹkǝl / -d
enclip / ~s | =
enclog | =
enclos·e S / LC, Luc ~es / ~eth / ~ing / ~ed | enˈklo:z / -ɪz / -ǝθ / -ɪn, -ɪŋ / -d
enclosed | m enˈklo:zɪd
encloud / ~ed | enˈklǝʊdɪd
encompass / ~eth / ~ed | enˈkɤmpǝ·sǝθ / m -st, -ˌsɪd
encompassment | m enˈkɤmpǝsˌment
encore | ɑ̃ˈkɔ:ɹ
encorpse / ~d | enˈkɔ:ɹpst
encounter / ~s | enˈkǝʊntǝɹ / -z
encounter / ~ing / ~ed | enˈkǝʊntǝɹ / enˈkǝʊntrɪn, -ɪŋ / m enˈkǝʊntǝɹd, -ǝˌred
encounterer / ~s | enˈkǝʊntrǝɹz, -tǝr-
encourage / ~ed | enˈkɤrɪdʒ / -d
encouragement | m enˈkɤrɪdʒˌment
encroaching | enˈkro:tʃɪn, -ɪŋ
encumber | enˈkɤmbǝɹ
end / ~s | =
end / ~s / ~ing / ~ed | = / = / ˈendɪn, -ɪŋ / =
endamage | =
endamagement | =
endanger | enˈdɛ:ndʒǝɹ
endart | enˈdɑ:ɹt
endear / ~ed | m enˈdi:ɹd, -i:rɪd
endeavour / ~s | enˈdevǝɹ / -z
endeavour / ~s / ~ed | enˈdevǝɹ / -z / -d
ended | =
ender LC | ˈendǝɹ
ending | ˈendɪn, -ɪŋ
ending / ~s | ˈendɪn, -ɪŋ / -z
endite | enˈdǝɪt
endless | =
endow / ~s / ~ed | enˈdǝʊ / -z / -d
endowment / ~s | enˈdǝʊmǝnt / -s
endue / ~s / ~d | enˈdju: / -z / -d
endurance | enˈdju:rǝns
endur·e / ~st / ~s / ~ing / ~ed | enˈdju:ɹ / -st / -z / -ɪn, -ɪŋ / -d
Endymion | m enˈdɪmɪˌɒn
enem·y / ~y’s / ~ies / ~ies’ | m ˈenǝˌmǝɪ, -nm- / -z
enfeeble / ~s / ~d | =
enfeoff / ~ed | enˈfi:ft
enfetter / ~ed | enˈfetǝɹd
enfix / ~ing | enˈfɪksɪn, -ɪŋ
enflame / ~d | enˈflɛ:m / -d
enflamed | enˈflɛ:md
enfold | enˈfo:ld
enfolding / ~s | enˈfo:ldɪnz, -ɪŋz
enforce / ~st / ~s / ~d | enˈfɔ:ɹs / -ǝst / -ɪz / m -t, -ɪd
enforced | m enˈfɔ:ɹst, -sɪd
enforcedly | m enˈfɔ:ɹsɪdˌlǝɪ
enforcement | enˈfɔ:ɹsmǝnt
enfranched | m enˈfrantʃɪd
enfranchise / ~d | enˈfrantʃǝɪz / -d
enfranchisement | m enˈfrantʃǝɪzˌment
enfreed | =
enfreedom / ~ing | enˈfri:dǝmɪn, -ɪŋ
engag·e / ~ing / ~ed | enˈgɛ:dʒ / -ɪn, -ɪŋ / m -ɪd, -d
engagement / ~s | enˈgɛ:dʒmǝnts
engaol / ~ed | enˈdʒɛ:ld
engender / ~s / ~ed | enˈdʒendǝɹ / -z / -d
engendering | enˈdʒendrɪn, -ɪŋ
engild / ~s | enˈgɪldz
engine / ~s | =
enginer | ˈendʒɪnǝɹ
engirt | enˈgɐ:ɹt
England / ~’s | =
English | =, Fr pron H5 5.2.259 ˈɒŋglɪʃ
English / ~d | =
English·man / ~man’s / ~men | =
Englishwoman | =
englut / ~s / ~ted | eŋˈglɤts / -ɪd
engrave / ~d, abbr graved | eŋˈgrɛ:v / -d, abbr grɛ:vd
engross / ~est / ~ed | eŋˈgrɒs / -ǝst / m -ɪd, -t
engrossing | eŋˈgrɒsɪn, -ɪŋ
engrossment / ~s | eŋˈgrɒsmǝnts
enguard | eŋˈgɑ:ɹd
enigma | eˈnɪgmǝ
enigmatical | m ˌenɪgˈmatɪˌkɑl
enjoin / ~ed | enˈdʒǝɪn / -d
enjoy / ~s / ~ing / ~ed | enˈdʒǝɪ / -z / -ɪn, -ɪŋ / -d
enjoying | enˈdʒǝɪɪn, -ɪŋ
enkindle / ~d | =
enkindled | =
enlard | enˈlɑ:ɹd
enlarge / ~th / ~d | enˈlɑ:ɹdʒ / -ǝθ / m -ɪd, -d
enlargement | enˈlɑ:ɹdʒmǝnt
enlink / ~ed | =
enmash | =
enmit·y / ~ies | m ˈenmɪˌtǝɪ / -z
ennemi | ɛnˈmi
ennoble / ~d | eˈno:bǝl / -d
Enobarbus | ˌi:nǝˈbɑ:ɹbǝs, -no:-
enormity | m ɪˈnɔ:ɹmɪˌtǝɪ
enormous | ɪˈnɔ:ɹmǝs
enough | ɪˈnɤf, ɪˈnɒf
enow | ɪˈnǝʊ
enpearce / ~d | m enˈpɛ:ɹsɪd
enquire / ~d | ɪnˈkwǝɪɹ / -d
enquiry | ɪnˈkwǝɪɹǝɪ
enrage / ~s / ~d | enˈrɛ:dʒ / -ɪz / m -d, -ɪd
enrank | =
enrapt | =
enrich / ~es / ~ed | = / = / m enˈrɪtʃt, -tʃɪd
enring / ~s | =
enrobe / ~d | enˈro:b / -d
enrol / ~led | enˈro:l / m -d, -ɪd
enrolled | m enˈro:lɪd
enroot / ~ed | =
enround / ~ed | enˈrǝʊndɪd
enschedule / ~d | enˈsedju:ld
ensconc·e / ~ing | = / enˈskɒnsɪn, -ɪŋ
enseamed | m enˈsɛ:mɪd
ensear | enˈsi:ɹ
enseign·er / ~ez / ~é | ɑ̃nsɛˈɲe
ensemble | ɑ̃nˈsɑ̃:blǝ
enshelter / ~ed | enˈʃeltǝɹd
enshield | ˈenʃi:ld
enshrine / ~s | enˈʃrǝɪnz
ensign / ~s | ˈensǝɪn / -z
enskied | enˈskǝɪd
ensnare / ~th / ~ed | enˈsnɛ:ɹ / -ǝθ / -d
enstate | enˈstɛ:t
ensteeped | =
ensue / ~s / ~d | enˈsju: / -z / -d
ensuing | enˈsju:ɪn, -ɪŋ
entail | enˈtɛ:l
entail | m enˈtɛ:l, ˈentɛ:l
entame | enˈtɛ:m
entangle / ~s / ~d | =
entendre | ɑ̃nˈtɑ̃:drǝ
enter / ~s / ~eth / ~ing / ~ed | ˈentǝɹ / -z / ˈentr·ǝθ, -tǝr- / -ɪn, -ɪŋ / ˈentǝɹd
entered | ˈentǝɹd
entering | ˈentrɪn, -ɪŋ
enterprise / ~s | ˈentǝɹˌprǝɪz / -ɪz
entertain / ~est / ~ing / ~ed | ˌentǝɹˈtɛ:n / -st / -ɪn, -ɪŋ / m -d, -ɪd
entertainer | ˌentǝɹˈtɛ:nǝɹ
entertainment / ~s | ˌentǝɹˈtɛ:nmǝnt / -s
enthralled | m enˈθrɑ:ld, -lɪd
enthrone / ~d | m enˈθro:nd, -nɪd
entice / ~d, abbr ticed | enˈtǝɪs / abbr tǝɪst
enticement / ~s | enˈtǝɪsmǝnts
enticing | enˈtǝɪsɪn, -ɪŋ
entire | enˈtǝɪɹ
entirely | enˈtǝɪɹlǝɪ
entit·le / ~ling / ~led / | enˈtǝɪtl, -ˈtɪt- / -ɪn, -ɪŋ / -d
entitule / ~d | m enˈtǝɪtjǝˌled, -jǝld, -ˈtɪt-
entomb / ~ed | enˈtɤm, -ˈtu:m / -d
entrails | ˈentrɛ:lz
entrance / ~s | =
entrap / ~ped | =
entre | ˈɑ̃:ntrǝ
entreasured | m enˈtrezǝˌred
entreat / ~s | enˈtrɛ:ts, -rets
entreat / ~s / ~ing / ~ed | enˈtrɛ:t, -ret / -s / -ɪn, -ɪŋ / -ɪd
entreatment / ~s | enˈtrɛ:tmǝnts, -ret-
entreat·y / ~ies | enˈtrɛ:tǝɪ, -ret- / -z
entrench / ~ed | =
entry | ˈentrǝɪ
entwist | =
enurn / ~ed | enˈɐ:ɹnd
envelop | =
envenom / ~s / ~ed | =
envenomed | m enˈvenǝˌmɪd
envious | =
enviously | m ˈenvɪǝsˌlǝɪ
environ / ~ed | enˈvǝɪrǝn / m enˈvǝɪrǝˌnɪd, -rǝnd
envy / ~s | ˈenvǝɪ / -z
env·y / ~ies / ~ing / ~ied | ˈenvǝɪ / -z / -ɪn, -ɪŋ / -d
enwheel | enˈʍi:l
enwomb / ~ed | m enˈwʊmɪd
enwrap / ~s | =
eo / ibat | ˈi:bat
Ephesian / ~s | eˈfi:zɪǝn / -z
Ephesus | ˈefesǝs
epicure / ~s | ˈepɪkju:ɹ / -z
epicurean | =
epicurism | =
Epicurus | ˌepɪˈkju:rǝs
Epidamium | ˌepɪˈdamɪǝm
Epidarus | ˌepɪˈdarǝs
epigram | =
epilepsy | ˈepɪlepsǝɪ
epileptic | =
epilogue / ~s | =
epistle / ~s | =
Epistrophus | eˈpɪstrǝˌpʊs
epitaph / ~s | =
epithet / ~s | =
epitheton | ǝˈpɪθǝtǝn
epitome | =
equal | ˈi:kwɑl
equal / ~s | ˈi:kwɑl / -z
equal / ~s / ~led | ˈi:kwɑl / -z / -d
equality | m ɪˈkwɑlɪˌtǝɪ
equally | m ˈi:kwɑˌlǝɪ, -ɑlǝɪ
equalness | m ˈi:kwɑlˌnes
equinoctial | ˌekwɪˈnɒksɪǝl
equinox | m ˈekwɪˌnɒks
equipage S | m ˈekwɪˌpɛ:dʒ
equity | m ˈekwɪˌtǝɪ
equivocal | m eˈkwɪvǝˌkɑl
equivocate / ~s | eˈkwɪvǝˌkɛ:t / -s
equivocation | eˈkwɪvǝˌkɛ:sɪǝn
equivocator | eˈkwɪvǝˌkɛ:tǝɹ
ere | ɛ:ɹ
Erebus | m ˈerǝˌbɤs, -ǝbǝs
erect / ~s / ~ing / ~ed | = / = / ɪˈrektɪn, -ɪŋ / =
erection | ɪˈreksɪǝn
erewhile | ɛ:ɹˈʍǝɪl
erga | ˈeɹga
ergo | ɐ:ɹˈgo:
Ermengare | m ˈɐ:ɹmɪŋˌgɑ:ɹ
Eros | ˈi:rɒs
Erotes | eˈro:ti:z
Erpingham | m ˈɐ:ɹpɪŋˌam, -ŋǝm
err / ~est / ~s / ~ing / ~ed | ɐ:ɹ / -st / -z / ˈɐ:ɹɪn, -ɪŋ / ɐ:ɹd
errand / ~s | =
errant | =
erring | ˈɐ:ɹɪn, -ɪŋ
erroneous | eˈro:nɪǝs
error / ~s | ˈerǝɹ / -z
erst | ɐ:ɹst
erudition | ˌerǝˈdɪsɪǝn
eruption / ~s | ɪˈrɤpsɪǝn / -z
eryngo / ~es | ɪˈrɪŋgo: / -z
Escalus | m ˈeskǝˌlɤs, -lǝs
escape, abbr scape / ~s | ɪˈskɛ:p, abbr skɛ:p / -s
escape, abbr scape / ~s / ~d / ~dest | ɪˈskɛ:p, abbr skɛ:p / -s / m -t, -ɪd / -st, -tst
eschew / ~ed | esˈtʃu:d
escot / ~ed | eˈskɒtɪd
especial | m eˈspesɪɑl, -ɪˌɑl
especially | eˈspesɪɑˌlǝɪ
esperance | ˈespǝˌrans
espial / ~s | m ɪˈspǝɪǝlz
espouse | ɪˈspǝʊz
espouse / ~d | ɪˈspǝʊz / -d
esp·y / ~ies / ~ied | ɪˈspǝɪ / -z / -d
esquire / ~s | ɪˈskwǝɪɹ / -z
ess / ~es | =
essay | ˈesɛ:
esse
- est | est
- sit | sɪt
essence | =
essential | ɪˈsensɪɑl
essentially | ɪˈsensɪɑlǝɪ
Essex | =
establish, abbr stablish / ~ed | =, abbr ˈstablɪʃ / m -t, -ˌɪd
established | m ɪˈstablɪʃt, -ɪˌʃɪd
estate / ~s | ɪˈstɛ:t / -s
estate | ɪˈstɛ:t
esteem | =
esteem / ~est / ~s / ~eth / ~ing / ~ed | = / ɪˈsti:m·st / = / -ɪn, -ɪŋ / m -d, -ɪd
esteemed | m ɪˈsti:md
estimable | m ˈestɪˌmabǝl
estimate | m ˈestɪˌmɛ:t
estimation / ~s | ˌestɪˈmɛ:sɪǝn / -z
estimer / estime | ɛˈstim
estranged | m ɪˈstrɛ:ndʒd, -dʒɪd
estridge / ~s | =
et | e
et | et
etcetera / ~s | =
eternal | ɪˈtɐ:ɹnɑl
eternal / ~’s | ɪˈtɐ:ɹnɑlz
eternally | m ɪˈtɐ:ɹnɑˌlǝɪ
eterne | ɪˈtɐ:ɹn
eternity | m ɪˈtɐɹnɪtǝɪ, -ɪˌtǝɪ
eternize / ~d | ɪˈtɐ:ɹnǝɪzd
Ethiop / ~’s / ~s | ˈi:tɪǝp / -s
Ethiopian / ~’s | ˌi:tɪˈo:pɪǝn / -z
Etna | =
Eton | =
être
- être | ˈɛ:trǝ
- est | e
- été | eˈte
- êtes | ɛt
- soit | swɛ
- sont | sũ
- suis | swi
eunuch / ~s | =
Euphrates | jʊˈfrɛ:ti:z
Euriphile | jʊˈrɪfɪˌli:
Europa | jʊˈro:pǝ
Europe | ˈju:rǝp
evade / ~s | ɪˈvɛ:d / -z
Evans | =
evasion / ~s | ɪˈvɛ:zɪǝn / -z
Eve / ~’s | =
even | =, ˈevǝn
even | =, ˈevǝn
even [evening] | =, ˈevǝn
even / ~ed | =, ˈevǝn / -d
even-handed | ˈi:vǝn-ˌandɪd, -han-, ˈevǝn-
evening | ˈi:vnɪn, -ɪŋ, ˈevǝn-
evenly | m ˈi:vǝnlǝɪ, -ˌlǝɪ, ˈevǝn-
event / ~s | =
eventful | =
ever, abbr e’er | m ˈevǝɹ, abbr ɛ:ɹ
ever-angry | ˈevǝɹ-ˈaŋgrǝɪ
ever-burning | ˈevǝɹ-ˈbɐ:ɹnɪn, -ɪŋ
ever-esteemed | =
ever-fixed | m ˈevǝɹ-ˈfɪksɪd
ever-harmless | ˈevǝɹ-ˈɑ:ɹmlǝs, -ˈhɑ-
everlasting | ˈevǝɹˈlastɪn, -ɪŋ
everlastingly | ˈevǝɹˈlastɪnˌlǝɪ, -ɪŋ-
ever-living | ˈevǝɹ-ˈlɪvɪn, -ɪŋ
evermore | ˈevǝɹˈmɔ:ɹ
ever-preserved | ˈevǝɹ-prɪˈzɐ:ɹvd, -vɪd
ever-running | ˈevǝɹ-ˈrɤnɪn, -ɪŋ
ever-valiant | ˈevǝɹ-ˈvalɪǝnt
every | ˈevrǝɪ
everyone, every one / ~’s | ˈevrǝɪˌɤn, -ˌwɒn / -z
everything, every thing | ˈevrǝɪˌθɪŋ
everywhere | ˈevrǝɪˌʍɛ:ɹ
evidence / ~s | m ˈevɪˌdens, -ɪdǝns / -ɪdǝnsɪz
evident | m ˈevɪˌdent, -ɪdǝnt
evil | ˈevɪl
evil / ~s | ˈevɪl / -z
evil-eyed | ˈevɪl-ˌǝɪd
evilly | m ˈevlǝɪ, -vɪl-, evˈlǝɪ
evitate | ˈevɪˌtɛ:t
ewe / ~s | =
ewer / ~s | ˈju:ǝɹ / -z
exact / ~est | = / ɪgˈzaktǝst, eg-
exact / ~est / ~ed | = / ɪgˈzakst, -tst, eg- / =
exacting | ɪgˈzaktɪn, -ɪŋ, eg-
exaction / ~s | ɪgˈzaksɪǝn, eg- / -z
exactly | ɪgˈzaklǝɪ, eg-, -ktl-
exalt / ~ed | ɪgˈzɑ:lt, eg- / -ɪd
exalted | ɪgˈzɑ:ltɪd, eg-
examination / ~s | ɪgˌzamɪˈnɛ:sɪǝn, eg- / -z
examine / ~s / ~d | = / = / m ɪgˈzamɪnd, -ˌnɪd, eg-
example / ~s | ɪgˈzampl, eg- / -z
example / ~d | ɪgˈzampl, eg- / -d
exasperate / ~s | ɪgˈzaspǝˌrɛ:t, eg- / -s
exceed / ~s / ~eth / ~ing / ~ed | = / = / = / ɪkˈsi:dɪn, -ɪŋ, ek- / =
exceeding | ɪkˈsi:dɪn, -ɪŋ, ek-
exceedingly | ɪkˈsi:dɪnˌlǝɪ, -ɪŋ-, ek-
excel / ~s / ~ling / ~led | = / = / ɪkˈselɪn, -ɪŋ, ek- / =
excellence | m ˈeksǝˌlens, -sǝlǝns, -slǝns
excellenc·y / ~ies | m ˈeksǝˌlensǝɪ, -sǝlǝn-, -slǝn- / ˈekslǝnsǝɪz, -sǝl-
excellent | m ˈeksǝˌlent, -sǝlǝnt, -slǝnt
excellent | ɛksɛˈlɑ̃
excellently | ˈekslǝntlǝɪ, -sǝl-, -ˌlǝɪ
excelling | ɪkˈselɪn, -ɪŋ, ek-
except | =
except / ~ed | =
excepting | ɪkˈseptɪn, -ɪŋ, ek-
exception / ~s | m ɪkˈsepsɪǝn, -ɪˌɒn, ek- / -z
exceptless | =
excess | =
excessive | =
